Date,"Crashes (Per interval, Daily): All Android versions","Crashes (Per interval, Daily): Android 14","Crashes (Per interval, Daily): Android 15","Crashes (Per interval, Daily): Android 8.1","Crashes (Per interval, Daily): Android 12",Notes
15 Oct 2024,90,19,0,9,20,
16 Oct 2024,87,18,0,11,11,
17 Oct 2024,96,29,0,9,11,
18 Oct 2024,69,18,0,6,10,
19 Oct 2024,70,12,0,0,23,
20 Oct 2024,73,18,0,14,12,
21 Oct 2024,65,14,0,9,9,
22 Oct 2024,91,30,0,7,13,
23 Oct 2024,93,26,0,4,18,
24 Oct 2024,85,18,0,9,20,
25 Oct 2024,101,26,0,2,12,
26 Oct 2024,95,20,0,6,25,
27 Oct 2024,100,15,0,6,11,
28 Oct 2024,118,29,0,5,15,
29 Oct 2024,93,18,0,5,22,
30 Oct 2024,81,25,0,6,21,
31 Oct 2024,89,25,0,7,9,
1 Nov 2024,118,27,2,2,17,
2 Nov 2024,89,22,0,5,20,
3 Nov 2024,98,31,0,5,16,
4 Nov 2024,84,16,0,7,10,
5 Nov 2024,107,21,0,7,29,
6 Nov 2024,77,17,0,1,21,
7 Nov 2024,58,13,0,5,11,
8 Nov 2024,104,19,0,2,22,
9 Nov 2024,90,21,0,5,15,
10 Nov 2024,88,25,0,6,10,
11 Nov 2024,107,29,0,7,25,
12 Nov 2024,91,18,0,10,17,
13 Nov 2024,96,27,0,0,20,
14 Nov 2024,82,18,0,2,9,
15 Nov 2024,74,17,0,0,12,
16 Nov 2024,75,18,0,2,18,
17 Nov 2024,71,17,0,5,16,
18 Nov 2024,73,16,0,3,18,
19 Nov 2024,78,17,0,3,22,
20 Nov 2024,72,9,0,3,18,
21 Nov 2024,103,49,0,4,14,
22 Nov 2024,68,16,0,5,7,
23 Nov 2024,86,16,0,8,17,
24 Nov 2024,79,22,0,5,9,
25 Nov 2024,91,14,0,3,10,
26 Nov 2024,82,25,0,2,14,
27 Nov 2024,113,18,0,2,26,
28 Nov 2024,92,20,0,3,20,
29 Nov 2024,83,19,0,12,6,
30 Nov 2024,85,31,0,1,10,
1 Dec 2024,74,13,0,5,18,
2 Dec 2024,95,20,0,7,23,
3 Dec 2024,113,22,0,6,17,
4 Dec 2024,111,22,0,9,18,
5 Dec 2024,101,21,0,2,18,
6 Dec 2024,68,13,0,7,11,
7 Dec 2024,99,26,0,5,15,
8 Dec 2024,99,21,0,8,9,
9 Dec 2024,79,26,0,8,7,
10 Dec 2024,69,21,0,5,19,
11 Dec 2024,66,29,0,1,10,
12 Dec 2024,68,17,0,1,10,
13 Dec 2024,93,30,0,6,22,
14 Dec 2024,96,44,0,5,12,
15 Dec 2024,98,34,0,10,18,
16 Dec 2024,56,23,0,1,7,
17 Dec 2024,69,13,0,1,25,
18 Dec 2024,82,28,0,3,19,
19 Dec 2024,103,35,2,1,18,
20 Dec 2024,106,28,2,5,15,
21 Dec 2024,78,25,0,2,11,
22 Dec 2024,84,27,1,4,20,
23 Dec 2024,78,19,0,6,16,
24 Dec 2024,92,18,0,5,16,
25 Dec 2024,85,32,1,4,14,
26 Dec 2024,104,32,0,10,12,
27 Dec 2024,96,34,0,14,16,
28 Dec 2024,89,23,0,8,16,
29 Dec 2024,98,28,0,5,10,
30 Dec 2024,95,27,0,3,13,
31 Dec 2024,111,21,0,4,29,
1 Jan 2025,99,18,0,1,13,
2 Jan 2025,86,22,0,2,14,
3 Jan 2025,69,13,0,3,21,
4 Jan 2025,71,15,0,7,12,
5 Jan 2025,56,20,3,4,5,
6 Jan 2025,61,14,1,4,11,
7 Jan 2025,69,17,1,7,21,
8 Jan 2025,59,22,0,2,12,
9 Jan 2025,70,24,1,0,13,
10 Jan 2025,88,33,2,2,13,
11 Jan 2025,48,12,0,7,7,
12 Jan 2025,47,14,0,0,8,
13 Jan 2025,71,29,2,1,14,
14 Jan 2025,89,31,2,1,7,
15 Jan 2025,74,28,0,2,9,
16 Jan 2025,93,37,2,2,5,
17 Jan 2025,96,32,2,1,15,
18 Jan 2025,126,48,2,3,18,
19 Jan 2025,75,18,1,2,10,
20 Jan 2025,99,31,0,10,19,
21 Jan 2025,62,15,0,5,8,
22 Jan 2025,98,19,0,15,16,
23 Jan 2025,94,24,0,4,27,
24 Jan 2025,156,42,0,7,40,
25 Jan 2025,106,26,1,6,16,
26 Jan 2025,103,40,2,6,12,
27 Jan 2025,107,21,0,7,24,
28 Jan 2025,82,26,3,6,12,
29 Jan 2025,98,30,6,4,5,
30 Jan 2025,79,25,6,6,5,
31 Jan 2025,100,35,1,4,12,
1 Feb 2025,100,21,1,2,7,
2 Feb 2025,65,19,1,1,15,
3 Feb 2025,71,21,0,3,13,
4 Feb 2025,68,13,0,3,19,
5 Feb 2025,73,29,2,5,11,
6 Feb 2025,75,24,2,0,9,
7 Feb 2025,93,28,0,1,18,
8 Feb 2025,92,35,1,3,13,
9 Feb 2025,91,35,1,1,9,
10 Feb 2025,72,25,2,5,7,
11 Feb 2025,50,10,0,2,15,
12 Feb 2025,85,28,0,5,22,
13 Feb 2025,81,35,1,1,13,
14 Feb 2025,81,28,2,1,8,
15 Feb 2025,82,36,3,2,9,
16 Feb 2025,92,29,0,0,16,
17 Feb 2025,80,21,1,7,13,
